XCoord;YCoord;NR;ADRESSE;TIEFE_M;GOK;AUFNDATUM;HERKUNFT;PHI;LAMBDA
1720246,999;5952775,75;4612;Petersgasse/Schörgelgasse;20;360;15.07.2002;Stadt Graz - Stadtvermessung;47,065525;15,453241
1717231,32;5952744,033;1765;Lazarettg. 13-Hof (L13/2);2,2;349,600006;31.12.1899;Stadt Graz - Stadtvermessung;47,065331;15,426151
1718669,894;5952762,167;1564;Wielandg.9;1,8;350,100006;31.12.1899;Stadt Graz - Stadtvermessung;47,065441;15,439075
1716985,274;5952744,1;1673;Idlhofg.87-Südwestecke(1);1,9;352,200012;31.12.1899;Stadt Graz - Stadtvermessung;47,065331;15,423942
1717802,585;5952753,619;1909;Griesplatz26/27(G27/28);0,6;347,799988;31.12.1899;Stadt Graz - Stadtvermessung;47,065388;15,431283
1718462,246;5952761,246;1559;Zimmerplatzg. 13 (ZP2);21,6;348,399994;31.12.1899;Stadt Graz - Stadtvermessung;47,065434;15,437209
1719039,122;5952767,875;1614;Jakoministr.22;1,2;351,200012;31.12.1899;Stadt Graz - Stadtvermessung;47,065475;15,442391
1719869,611;5952778,821;3605;Kopernikusg. 15;2,9;353,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,065544;15,449852
1712778,532;5952698,296;2238;Allerheiligenweg 8-Südecke (A/G);3;376,799988;31.12.1899;Stadt Graz - Stadtvermessung;47,065048;15,386151
1716995,914;5952748,634;1674;Idlhofg.87-Südseite(2);1,2;352;31.12.1899;Stadt Graz - Stadtvermessung;47,065357;15,424037
1714671,441;5952722,613;4263;Gaswerkstr. 48 gegenüber;2,4;362,299988;01.06.1997;Stadt Graz - Stadtvermessung;47,065197;15,403155
1717218,764;5952752,707;1764;Lazarettg.13-str.seitig(L13/1);2,1;349,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,065384;15,426039
1717006,285;5952751,695;1675;Idlhofg.87-Südostecke(3);1,8;351,799988;31.12.1899;Stadt Graz - Stadtvermessung;47,065376;15,424129
1718927,965;5952773,951;1583;Schönaug.12;1,8;351,600006;01.01.1990;Stadt Graz - Stadtvermessung;47,065514;15,441393
1717724,058;5952764,468;1997;Ägydig.16;0,3;348,299988;31.12.1899;Stadt Graz - Stadtvermessung;47,065456;15,430577
1719206,761;5952781,554;1628;Grazbachg. 24;4;352,299988;31.12.1899;Stadt Graz - Stadtvermessung;47,065559;15,443897
1718327,794;5953572,66;1456;Neutorg. 11/13 (3);6,2;349,899994;31.12.1899;Stadt Graz - Stadtvermessung;47,0704;15,436001
1719489,268;5953585,986;3510;Burgring (B);4;356,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,07048;15,446435
1717624,975;5953565,991;1777;Dominikanerg.5(Do5/1);1,32;350;31.12.1899;Stadt Graz - Stadtvermessung;47,070358;15,429688
1720170,799;5953595,204;3769;Naglerg. 19;2;363,399994;31.12.1899;Stadt Graz - Stadtvermessung;47,070538;15,452558
1719329,941;5953587,108;3507;Einspinnerg. 5;1,8;354,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,070488;15,445004
1717435,322;5953566,725;1723;Elisabethinerg. 10-Nordost (E8);1,2;350;31.12.1899;Stadt Graz - Stadtvermessung;47,070362;15,427984
1719436,463;5953589,794;3509;Burgring 22;2,15;356,299988;31.12.1899;Stadt Graz - Stadtvermessung;47,070503;15,445961
1720830,93;5953605,597;4233;Merangasse 75;1,4;363,5;20.03.1999;Stadt Graz - Stadtvermessung;47,070602;15,458488
1719894,67;5953596,482;3646;Alberstr. 13;2,8;362,200012;31.12.1899;Stadt Graz - Stadtvermessung;47,070545;15,450077
1720136,175;5953599,222;3771;Naglerg. 12;2,85;363,600006;31.12.1899;Stadt Graz - Stadtvermessung;47,07056;15,452246
1720786,814;5953606,571;4059;Merang./Nibelungeng.-Nordwest (M1);1,99;362,799988;31.12.1899;Stadt Graz - Stadtvermessung;47,070606;15,458091
1716837,113;5953562,68;1183;Niesenbergerstr.50/Querg.;1,96;356;31.12.1899;Stadt Graz - Stadtvermessung;47,070339;15,42261
1719097,626;5953588,861;1435;Salzamtsg.6;2,3;351,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,070499;15,442917
1720430,555;5953604,023;3757;Schillerstr. 27;1,9;361,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,070591;15,45489
1718480,243;5953583,239;1445;Neue-Welt-G.3;2,5;350,200012;31.12.1899;Stadt Graz - Stadtvermessung;47,070465;15,43737
1720152,845;5953602,351;3770;Naglerg. 12/14;1,4;363,5;31.12.1899;Stadt Graz - Stadtvermessung;47,07058;15,452396
1718186,266;5953581,317;1825;Grieskai4-Murseite(G4);5;345,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,070454;15,43473
1719342,594;5953596,073;3506;Einspinnerg. 3 (N3);1,5;355,5;31.12.1899;Stadt Graz - Stadtvermessung;47,070541;15,445117
1718324,38;5953588,792;1455;Neutorg. 9 (4);5,5;349,799988;31.12.1899;Stadt Graz - Stadtvermessung;47,070499;15,43597
1719786,681;5953140,984;3616;Mandellstr. 16;1,6;355,799988;31.12.1899;Stadt Graz - Stadtvermessung;47,067757;15,449106
1720077,548;5953144,287;3823;Uhlandg. 3;3,4;358;31.12.1899;Stadt Graz - Stadtvermessung;47,06778;15,451719
1720285,145;5953149,578;3830;Raimundg./Nibelungeng.;1,2;359,600006;31.12.1899;Stadt Graz - Stadtvermessung;47,06781;15,453585
1718999,307;5953136,404;1654;Jakominiplatz 1 (Cl29);12,7;351,399994;31.12.1899;Stadt Graz - Stadtvermessung;47,06773;15,442034
1720334,481;5953154,547;3854;Nibelungeng. 10;3,2;359,799988;31.12.1899;Stadt Graz - Stadtvermessung;47,067841;15,454027
1718290,341;5953132,659;1482;Marburgerkai47(M3);4,5;349,600006;31.12.1899;Stadt Graz - Stadtvermessung;47,067707;15,435665
1721168,386;5953165,407;3989;Plüddemanng. 17;6,3;366,799988;31.12.1899;Stadt Graz - Stadtvermessung;47,067909;15,461518
1716695,182;5953115,567;1236;Steinfeldg.18;2;357,899994;31.12.1899;Stadt Graz - Stadtvermessung;47,067604;15,421335
1719219,038;5953144,801;1652;Gleisdorferg. 3;1,8;353;31.12.1899;Stadt Graz - Stadtvermessung;47,067783;15,444007
1718363,721;5953136,446;1491;Kalchbergg.12;3,5;349,899994;01.01.1989;Stadt Graz - Stadtvermessung;47,06773;15,436324
1720623,685;5953162,223;4699;Naglergasse 63;2;362,799988;17.08.2005;Stadt Graz - Stadtvermessung;47,06789;15,456626
1719232,491;5953147,895;1651;Gleisdorferstr.5;1,4;353,100006;31.12.1899;Stadt Graz - Stadtvermessung;47,067802;15,444128
1720051,893;5953157,227;3824;Uhlandg. 1;1,2;358,200012;31.12.1899;Stadt Graz - Stadtvermessung;47,06786;15,451489
1722146,443;5953180,729;2062;Mannagettaweg 5/ Pistotnikg.;0,3;379,100006;31.12.1899;Stadt Graz - Stadtvermessung;47,068001;15,470304
1719447,292;5953151,819;3529;Lutherg. 4;3,1;354,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,067825;15,446058
1719910,77;5953157,095;3630;Technikerstr. 4 (TU/Bb);1;357,200012;31.12.1899;Stadt Graz - Stadtvermessung;47,067856;15,450221
1721063,236;5953171,578;3944;Krenng. 38;1,8;365,200012;31.12.1899;Stadt Graz - Stadtvermessung;47,067947;15,460574
1723318,392;5953196,599;3172;Waltendorfer Hstr. 101c-NO (WaHa101/103-3);0;424,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,0681;15,480832
1717532,747;5953467,888;1781;Kernstockg./Dreihackeng./Kirche (Do/D);1,55;349,899994;31.12.1899;Stadt Graz - Stadtvermessung;47,069759;15,428859
1717393,817;5953467,741;1728;Elisabethinerg.14/Mühlgang;1,7;349,899994;31.12.1899;Stadt Graz - Stadtvermessung;47,069759;15,427611
1718344,111;5953478,758;1462;Neutorg. 30/32 (2);6,1;349,799988;31.12.1899;Stadt Graz - Stadtvermessung;47,069824;15,436148
1716461,094;5953458,297;1202;Niesenbergerg. 74/Nordseite-Ost (N74/2);0,9;361,5;31.12.1899;Stadt Graz - Stadtvermessung;47,069698;15,419232
1717948,878;5953475,659;1803;Defreggerg.1(D/S);1,6;349,200012;31.12.1899;Stadt Graz - Stadtvermessung;47,069805;15,432597
1717961,631;5953475,807;1804;Defreggerg.2(D1);1,1;349,100006;31.12.1899;Stadt Graz - Stadtvermessung;47,069805;15,432712
1720097,719;5953500,285;3780;Alberstr. 23;1,9;362,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,069958;15,4519
1719039,696;5953489,697;1538;Schlosserg.2;1,2;350,100006;31.12.1899;Stadt Graz - Stadtvermessung;47,069893;15,442396
1724545,616;5953551,04;3246;Waltendorfer- Hauptstr./ Mölkweg;2,2;456,899994;31.12.1899;Stadt Graz - Stadtvermessung;47,070267;15,491857
1716479,377;5953461,452;1201;Niesenbergerg. 74/Nordseite-West (N74/1);1,9;361,100006;31.12.1899;Stadt Graz - Stadtvermessung;47,069717;15,419396
1717668,374;5953475,345;1792;Kernstockg.10(24);2,31;350,100006;31.12.1899;Stadt Graz - Stadtvermessung;47,069805;15,430078
1717629,525;5953476,364;1791;Kernstockg.14(25);1,7;350;31.12.1899;Stadt Graz - Stadtvermessung;47,069809;15,429729
1718710,536;5953488,859;1523;Herrengasse16-Landhaus-Nord(BI);1,6;350,299988;31.12.1899;Stadt Graz - Stadtvermessung;47,069885;15,43944
1719214,759;5953496,111;1544;Tummelplatz3;1,6;352,299988;31.12.1899;Stadt Graz - Stadtvermessung;47,069931;15,443969
1717433,544;5953479,965;1784;Kernstockg.26(K28);2,7;349,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,069832;15,427968
1717603,962;5953481,947;1789;Kernstockg.16-Ost(26);2,7;349,799988;31.12.1899;Stadt Graz - Stadtvermessung;47,069843;15,429499
1718343,243;5953490,509;1461;Neutorg. 30 (3);6;349,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,069897;15,43614
1719733,741;5953506,443;3620;Wastiangasse 4 (K4/1);2,8;358,899994;31.12.1899;Stadt Graz - Stadtvermessung;47,069996;15,448631
1724072,304;5952433,063;4228;Peterstalstr. 84;3;397,700012;07.08.1999;Stadt Graz - Stadtvermessung;47,063427;15,487605
1719704,195;5952387,39;2160;Kastellfeldg.30;1,45;349,200012;31.12.1899;Stadt Graz - Stadtvermessung;47,063148;15,448365
1717252,182;5952360,608;2096;Oeverseeg.25(O/L1);0,4;349,799988;31.12.1899;Stadt Graz - Stadtvermessung;47,062984;15,426339
1719562,203;5952387,242;2133;Brockmanng.54;2;349,200012;31.12.1899;Stadt Graz - Stadtvermessung;47,063145;15,44709
1719447,306;5952387,402;3568;Klosterwiesg. 45;2,7;349,399994;31.12.1899;Stadt Graz - Stadtvermessung;47,063148;15,446058
1719592,36;5952389,056;2132;Brockmanng.55/57;1,7;349,100006;31.12.1899;Stadt Graz - Stadtvermessung;47,063156;15,447361
1717921,887;5952371,333;2105;Stadlg.3;2,1;346,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,063049;15,432355
1714219,069;5952329,112;2249;Reininghausstr./ Gallmeyerg. (R/G);1,2;363,399994;31.12.1899;Stadt Graz - Stadtvermessung;47,06279;15,399092
1719602,715;5952393,584;2131;Brockmanng.55;2,1;349,100006;31.12.1899;Stadt Graz - Stadtvermessung;47,063187;15,447454
1720588,211;5952404,755;4517;Petersgasse 41/43;2,4;360,600006;26.05.2002;Stadt Graz - Stadtvermessung;47,063251;15,456306
1719709,807;5952396,273;3573;Kastellfeldg. 21;1,75;349,299988;31.12.1899;Stadt Graz - Stadtvermessung;47,063202;15,448416
1717029,658;5952366,829;2085;Lazarettg. 39;1,1;350,899994;31.12.1899;Stadt Graz - Stadtvermessung;47,063023;15,42434
1717052,517;5952367,097;2086;Lazarettg.39/Innen(L39H);1;350,5;31.12.1899;Stadt Graz - Stadtvermessung;47,063023;15,424545
1717766,647;5952375,413;2098;Karlauerstr.15;3,2;347,299988;31.12.1899;Stadt Graz - Stadtvermessung;47,063072;15,430961
1723101,013;5952435,673;3191;AEG-Baugrund-B4 = Friaulweg 7-W-Seite (B4);0;411,100006;31.12.1899;Stadt Graz - Stadtvermessung;47,063442;15,47888
1719977,321;5952402,253;3579;Münzgrabenstr. 46;4;350,799988;31.12.1899;Stadt Graz - Stadtvermessung;47,063236;15,450819
1721533,187;5952422,712;4666;Plüddemanngasse;2,2;365,200012;09.07.2005;Stadt Graz - Stadtvermessung;47,063362;15,464796
1713833,31;5952334,76;4137;Handelstr. 21;1,7;363,100006;10.12.1995;Stadt Graz - Stadtvermessung;47,062824;15,395627
1715169,46;5954241,342;4396;Alte-Post-Str. 106-Südostecke;1,6;365,5;31.12.1899;Stadt Graz - Stadtvermessung;47,07449;15,407629
1717615,525;5954270,118;227;Josefig.27(J5);1,2;351,100006;31.12.1899;Stadt Graz - Stadtvermessung;47,074665;15,429603
1716400,65;5950943,993;4324;KB-EG2/97 Bahnübergang Felsgasse westlich;10;355,600006;13.02.1998;Stadt Graz - Stadtvermessung;47,054314;15,41869
1720584,896;5951001,008;3061;Neufeldweg31;1,2;356;31.12.1899;Stadt Graz - Stadtvermessung;47,054665;15,456277
1718873,803;5950983,012;2947;Widowitzgasse 5-innen (Sch123/124-1);2,6;345;31.12.1899;Stadt Graz - Stadtvermessung;47,054554;15,440907
1725134,279;5951061,411;4131;Petersbergenstr. 53;5,5;447,299988;14.11.1995;Stadt Graz - Stadtvermessung;47,055031;15,497145
1717690,637;5951432,332;2766;Triesterstr.14;1;346,299988;31.12.1899;Stadt Graz - Stadtvermessung;47,057304;15,430278
1720392,257;5953621,233;3758;Morellenfeldg./Schillerstr.;3,65;362;31.12.1899;Stadt Graz - Stadtvermessung;47,070698;15,454547
1717757,602;5953592,524;1774;Vorbeckg.4;1,7;349,899994;31.12.1899;Stadt Graz - Stadtvermessung;47,070522;15,430879
1718317,502;5953600,474;1454;Neutorg. 14;1,8;349,700012;31.12.1899;Stadt Graz - Stadtvermessung;47,070568;15,435908
1717812,358;5953584,338;1802;Limonig.3;1,5;349,799988;31.12.1899;Stadt Graz - Stadtvermessung;47,070473;15,431371
