XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;KAT3;HERKUNFT;PHI;LAMBDA
1725995,07740000;5956535,16650000;51;kelef&ber_outdoortraining;Sternwirtweg 20b;8047;Graz;+43(0)664/3947291;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,088524;15,504878
1718850,79490000;5954166,81780000;52;Landesjugendbeirat;Karmeliterplatz 2;8010;Graz;+43(0)316/877;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,074036;15,440700
1718850,79490000;5954166,81780000;53;Ludovico;Karmeliterplatz 2;8010;Graz;+43(0)316/0316/90 370 251;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,074036;15,440700
1718850,79490000;5954166,81780000;54;Kinderbüro;Karmeliterplatz 2;8010;Graz;+43(0)316/90370 180;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,074036;15,440700
1718665,32900000;5953356,47350000;55;Ring Freiheitlicher Jugend;Schmiedgasse 16/3;8010;Graz;+43(0)664/5249713;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,069077;15,439034
1719270,62920000;5949379,45310000;56;Jugendzentrum  Am Grünanger;Theyergasse 9;8041;Graz;+43(0)676/4362122;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,044739;15,444470
1714884,24730000;5954323,48890000;57;Jugendzentrum Youth Point St.Vinzenz;Vinzenzgasse 42;8020;Graz;+43(0)676/5219746;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,074993;15,405067
1720169,02660000;5955238,25450000;58;Alpenvereinsjugend;Heinrichstraße 64a/3;8010;Graz;+43(0)650/9947865 ;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,080589;15,452541
1713263,97890000;5950209,11160000;59;Landjugend Steiermark;Krottendorfer Straße 81;8052;Graz;+43(0)316/8050–7150;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,049816;15,390512
1718850,79490000;5954166,81780000;60;ARGE Jugend gegen Gewalt und Rassismus;Karmeliterplatz 2;8010;Graz;+43(0)316/90370-100;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,074036;15,440700
1720364,11880000;5948448,18000000;61;WIKI Spielmobil;Ziehrerstraße 83;8041;Graz;+43(0)316/426565;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,039036;15,454294
1717385,21290000;5953327,01200000;62;MEZZANIN Theater;Elisabethinergasse 27a;8020;Graz;+43(0)316/670550;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,068897;15,427534
1721554,48540000;5952044,58620000;63;LUV Lehrlings-Unterstützungs-Verein;Hand-Brandstetter-Gasse 4a;8010;Graz;+43(0)316/465710;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,061050;15,464987
1718732,21510000;5954147,09610000;64;Grünalternative Jugend;Am Fuße des Schloßberges 2;8010;Graz;+43(0)316/830686;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,073914;15,439634
1718859,36270000;5954103,89250000;65;Junge Volkspartei Graz ;Karmeliterplatz 6;8010;Graz;+43(0)316/60744 ;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,073650;15,440777
1718850,79490000;5954166,81780000;66;Landesjugendreferat;Karmeliterplatz 2;8010;Graz;+43(0)316/877-4239;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,074036;15,440700
1716276,78570000;5960040,72890000;67;Jugendzentrum Umleitung;Pedrettogasse 14;8045;Graz;+43(0)664/5133613;Kinder & Jugendliche;Stadt Graz - Stadtvermessung;47,109959;15,417577
